Hospital Name,City,State,Current Contract Holder,Contract Expiry Date,Net Total Births,Month
CHI HEALTH SCHUYLER,SCHUYLER,NE,Abbott Exclusive,2025-10-31,0,2025-10
CALIFORNIA HOSP MED CTR-LA,LOS ANGELES,CA,Abbott Exclusive,2025-10-31,2719,2025-10
CHI HEALTH MERCY COUNCIL BLUFFS,COUNCIL BLFS,IA,Abbott Exclusive,2025-10-31,422,2025-10
CHI HEALTH LAKESIDE,OMAHA,NE,Abbott Exclusive,2025-10-31,1025,2025-10
CHI HEALTH IMMANUEL,OMAHA,NE,Abbott Exclusive,2025-10-31,575,2025-10
CHI HEALTH GOOD SAMARITAN,KEARNEY,NE,Abbott Exclusive,2025-10-31,367,2025-10
CHI HEALTH CREIGHTON UNIV MED CTR,OMAHA,NE,Abbott Exclusive,2025-10-31,0,2025-10
CHI HEALTH BERGAN MERCY,OMAHA,NE,Abbott Exclusive,2025-10-31,3612,2025-10
PULLMAN REG HOSP,PULLMAN,WA,MJN Exclusive,2025-10-31,437,2025-10
CHANDLER REGIONAL HOSP,CHANDLER,AZ,MJN Exclusive,2025-10-31,3779,2025-10
QUEENS HOSPITAL CENTER,JAMAICA,NY,Abbott Exclusive,2025-10-31,1370,2025-10
RANDOLPH HOSPITAL,ASHEBORO,NC,MJN Exclusive,2025-10-31,742,2025-10
CANTON-POTSDAM HOSPITAL,POTSDAM,NY,MJN Exclusive,2025-10-31,658,2025-10
CENTURA ST ELIZABETH HOSPITAL,FORT MORGAN,CO,MJN Exclusive,2025-10-31,436,2025-10
REGIONAL HEALTH SERV OF HOWARD CO,CRESCO,IA,MJN Exclusive,2025-10-31,79,2025-10
RICHMOND UNIVERSITY MEDICAL CENTER,STATEN ISLAND,NY,Abbott Exclusive,2025-10-31,2900,2025-10
RIDEOUT HEALTH,MARYSVILLE,CA,MJN Exclusive,2025-10-31,2312,2025-10
CARROLL HOSPITAL CENTER,WESTMINSTER,MD,MJN Exclusive,2025-10-31,1075,2025-10
OSF SACRED HEART MEDICAL CENTER,DANVILLE,IL,Abbott Exclusive,2025-10-31,0,2025-10
PAGE HOSPITAL,PAGE,AZ,Abbott Exclusive,2025-10-31,110,2025-10
COMMUNITY HOSPITAL,TORRINGTON,WY,Abbott Exclusive,2025-10-31,68,2025-10
BAPTIST HEALTH LEXINGTON,LEXINGTON,KY,Abbott Exclusive,2025-10-31,4323,2025-10
BAPTIST HEALTH LOUISVILLE,LOUISVILLE,KY,Abbott Exclusive,2025-10-31,3131,2025-10
EAST MORGAN CO HOSPITAL,BRUSH,CO,Choice,2025-10-31,105,2025-10
SUNY UPSTATE MEDICAL UNIVERSITY,SYRACUSE,NY,MJN Exclusive,2025-10-31,1030,2025-10
EAST LOS ANGELES DOCTORS HOSPITAL,LOS ANGELES,CA,MJN Exclusive,2025-10-31,660,2025-10
STURDY MEMORIAL HOSPITAL,ATTLEBORO,MA,MJN Exclusive,2025-10-31,708,2025-10
NEMOURS CHILDRENS HOSPITAL,ORLANDO,FL,MJN Exclusive,2025-10-31,190,2025-10
BAPTIST HEALTH PADUCAH,PADUCAH,KY,Abbott Exclusive,2025-10-31,1579,2025-10
STONY BROOK UNIV MEDICAL CENTER,STONY BROOK,NY,MJN Exclusive,2025-10-31,5100,2025-10
STONY BROOK SOUTHAMPTON HOSPITAL,SOUTHAMPTON,NY,MJN Exclusive,2025-10-31,783,2025-10
BAPTIST HEALTH RICHMOND,RICHMOND,KY,Abbott Exclusive,2025-10-31,536,2025-10
SHRINERS HOSPITALS FOR CHILDREN,PORTLAND,OR,Choice,2025-10-31,7,2025-10
NEMOURS/ ALFRED I DUPONT HOSPITAL,WILMINGTON,DE,MJN Exclusive,2025-10-31,352,2025-10
ST JOSEPH MED CENTER,TACOMA,WA,Abbott Exclusive,2025-10-31,4198,2025-10
STATEN ISLAND UNIVERSITY HOSPITAL,STATEN ISLAND,NY,Abbott Exclusive,2025-10-31,2664,2025-10
BAPTIST HEALTH LA GRANGE,LA GRANGE,KY,Abbott Exclusive,2025-10-31,242,2025-10
BAPTIST HEALTH HARDIN HOSPITAL,ELIZABETHTOWN,KY,Abbott Exclusive,2025-10-31,1404,2025-10
SHRINERS HOSPITALS FOR CHILDREN,PHILADELPHIA,PA,Choice,2025-10-31,3,2025-10
EDINBURG REGIONAL MEDICAL CENTER,EDINBURG,TX,Abbott Exclusive,2025-10-31,1189,2025-10
BLYTHEDALE CHILDRENS HOSPITAL,VALHALLA,NY,MJN Exclusive,2025-10-31,347,2025-10
EINSTEIN MEDICAL CENTER MONTGOMERY,NORRISTOWN,PA,MJN Exclusive,2025-10-31,1995,2025-10
BANNER PAYSON MEDICAL CENTER,PAYSON,AZ,Choice,2025-10-31,158,2025-10
BLESSING HOSPITAL,QUINCY,IL,Choice,2025-10-31,1015,2025-10
TAYLOR REGIONAL HOSPITAL,CAMPBELLSVILLE,KY,Abbott Exclusive,2025-10-31,345,2025-10
TANNER MEDICAL CENTER,VILLA RICA,GA,MJN Exclusive,2025-10-31,427,2025-10
TANNER MEDICAL CENTER,CARROLLTON,GA,MJN Exclusive,2025-10-31,1377,2025-10
BROADLAWNS MEDICAL CTR,DES MOINES,IA,Abbott Exclusive,2025-10-31,791,2025-10
BRAZOSPORT REGIONAL HLTH SYSTEM,LAKE JACKSON,TX,MJN Exclusive,2025-10-31,223,2025-10
BRAZOSPORT REGIONAL HLTH SYSTEM,LAKE JACKSON,TX,Other,2025-10-31,223,2025-10
BRIDGEPORT HOSPITAL,BRIDGEPORT,CT,Abbott Exclusive,2025-10-31,2550,2025-10
BETHESDA MEMORIAL HOSPITAL,BOYNTON BEACH,FL,MJN Exclusive,2025-10-31,2837,2025-10
BANNER WYOMING MEDICAL CENTER,CASPER,WY,Abbott Exclusive,2025-10-31,870,2025-10
BAPTIST EASLEY HOSPITAL,EASLEY,SC,Abbott Exclusive,2025-10-31,484,2025-10
BAPTIST HEALTH CORBIN,CORBIN,KY,Abbott Exclusive,2025-10-31,1086,2025-10
BAPTIST HEALTH FLOYD,NEW ALBANY,IN,Abbott Exclusive,2025-10-31,1395,2025-10
SHRINERS HOSPITALS FOR CHILDREN,BOSTON,MA,Choice,2025-10-31,2,2025-10
NEWARK WAYNE COMMUNITY HOSPITAL,NEWARK,NY,MJN Exclusive,2025-10-31,693,2025-10
STERLING REG MED CENTER,STERLING,CO,Abbott Exclusive,2025-10-31,204,2025-10
SAN JOAQUIN GEN HOSP,FRENCH CAMP,CA,MJN Exclusive,2025-10-31,1907,2025-10
NORTHWEST TEXAS HOSPITAL,AMARILLO,TX,Abbott Exclusive,2025-10-31,3205,2025-10
ST MARY-CORWIN HOSP,PUEBLO,CO,Other,2025-10-31,0,2025-10
ST MARY'S HOSPITAL,GRAND JUNCTION,CO,Abbott Exclusive,2025-10-31,1680,2025-10
ST THOMAS MORE HOSP,CANON CITY,CO,MJN Exclusive,2025-10-31,366,2025-10
NORTON CLARK HOSPITAL LLC,JEFFERSONVILLE,IN,MJN Exclusive,2025-10-31,1364,2025-10
ST MARY MEDICAL CENTER,HOBART,IN,Choice,2025-10-31,595,2025-10
NYU LANGONE TISCH HOSPITAL,NEW YORK,NY,MJN Exclusive,2025-10-31,5550,2025-10
NORTON SCOTT HOSPITAL LLC,SCOTTSBURG,IN,Choice,2025-10-31,0,2025-10
CROUSE HOSPITAL,SYRACUSE,NY,MJN Exclusive,2025-10-31,3889,2025-10
ST LUKES SUGARLAND HOSPITAL,SUGAR LAND,TX,MJN Exclusive,2025-10-31,1099,2025-10
ST LUKES HOSPITAL-ALLENTOWN CAMPUS,ALLENTOWN,PA,Abbott Exclusive,2025-10-31,1560,2025-10
ST LUKES HOSPITAL AT THE VINTAGE,HOUSTON,TX,Other,2025-10-31,0,2025-10
ST LUKES HOSPITAL AT THE VINTAGE,HOUSTON,TX,MJN Exclusive,2025-10-31,901,2025-10
ST LUKES HOSPITAL ANDERSON,EASTON,PA,Abbott Exclusive,2025-10-31,3055,2025-10
NYU LANGONE BROOKLYN HOSPITAL,BROOKLYN,NY,MJN Exclusive,2025-10-31,4201,2025-10
NYU LANGONE HOSP LONG ISLAND,MINEOLA,NY,MJN Exclusive,2025-10-31,4775,2025-10
CABELL HUNTINGTON HOSPITAL,HUNTINGTON,WV,MJN Exclusive,2025-10-31,3078,2025-10
OCONEE MEMORIAL HOSPITAL,SENECA,SC,Abbott Exclusive,2025-10-31,507,2025-10
OISHEI CHILDRENS HOSPITAL,BUFFALO,NY,MJN Exclusive,2025-10-31,3501,2025-10
NIAGARA FALLS MEMORIAL MEDICAL CTR,NIAGARA FALLS,NY,MJN Exclusive,2025-10-31,462,2025-10
ST ROSE DOMINICAN-SAN MARTIN,LAS VEGAS,NV,Abbott Exclusive,2025-10-31,1115,2025-10
ST ROSE DOM HOSP-SIENNA,HENDERSON,NV,Abbott Exclusive,2025-10-31,3316,2025-10
COMMUNITY REG MED CENTER FRESNO,FRESNO,CA,Abbott Exclusive,2025-10-31,5175,2025-10
ST JOSEPHS HOSPITAL,BELLINGHAM,WA,Abbott Exclusive,2025-10-31,2050,2025-10
DOMINICAN SANTA CRUZ HSP,SANTA CRUZ,CA,Abbott Exclusive,2025-10-31,939,2025-10
BAPTIST HOSPITAL OF MIAMI,MIAMI,FL,MJN Exclusive,2025-10-31,3933,2025-10
NORTH COLORADO MED CTR,GREELEY,CO,Abbott Exclusive,2025-10-31,1269,2025-10
OHSU HEALTH HILLSBORO MED CTR,HILLSBORO,OR,MJN Exclusive,2025-10-31,805,2025-10
SANTIAM MEM HOSP,STAYTON,OR,Abbott Exclusive,2025-10-31,172,2025-10
DOCTORS HOSPITAL,CORAL GABLES,FL,Other,2025-10-31,0,2025-10
ST MARYS MEDICAL CENTER,HUNTINGTON,WV,MJN Exclusive,2025-10-31,309,2025-10
NORTH OAKS MEDICAL CTR,HAMMOND,LA,Abbott Exclusive,2025-10-31,1200,2025-10
NORTHFIELD HOSPITAL,NORTHFIELD,MN,MJN Exclusive,2025-10-31,766,2025-10
OLEAN GENERAL HOSPITAL,OLEAN,NY,MJN Exclusive,2025-10-31,672,2025-10
ST JOSEPHS HOSPITAL,BUCKHANNON,WV,Abbott Exclusive,2025-10-31,287,2025-10
NORTH OKALOOSA MEDICAL CENTER,CRESTVIEW,FL,Abbott Exclusive,2025-11-01,702,2025-11
SAINT FRANCIS HOSPITAL MUSKOGEE,MUSKOGEE,OK,Abbott Exclusive,2025-11-01,703,2025-11
CENTENNIAL HILLS HOSPITAL MED CTR,LAS VEGAS,NV,Abbott Exclusive,2025-11-03,2765,2025-11
HAYS MEDICAL CTR INC,HAYS,KS,Choice,2025-11-18,606,2025-11
JEFFERSON WASHINGTON TOWNSHIP,TURNERSVILLE,NJ,MJN Exclusive,2025-11-30,1190,2025-11
HENDERSON HOSPITAL,HENDERSON,NV,Abbott Exclusive,2025-11-30,2270,2025-11
TORRANCE MEMORIAL MEDICAL CENTER,TORRANCE,CA,MJN Exclusive,2025-11-30,2870,2025-11
CENTRAL MAINE MEDICAL CENTER,LEWISTON,ME,Abbott Exclusive,2025-11-30,917,2025-11
MERCY REGIONAL MEDICAL CENTER,DURANGO,CO,Choice,2025-11-30,951,2025-11
ADVENTIST HEALTH WHITE MEMORIAL,LOS ANGELES,CA,Abbott Exclusive,2025-11-30,3690,2025-11
SUMMERLIN HOSPITAL MEDICAL CENTER,LAS VEGAS,NV,Choice,2025-11-30,6630,2025-11
SPRING VALLEY HOSPITAL MEDICAL CTR,LAS VEGAS,NV,Choice,2025-11-30,1555,2025-11
FLAGSTAFF MEDICAL CENTER,FLAGSTAFF,AZ,Abbott Exclusive,2025-11-30,1151,2025-11
DUNCAN REGIONAL HOSPITAL,DUNCAN,OK,Choice,2025-11-30,657,2025-11
ISLAND HOSPITAL,ANACORTES,WA,MJN Exclusive,2025-11-30,554,2025-11
METHODIST WOMENS HOSPITAL,ELKHORN,NE,MJN Exclusive,2025-12-01,5056,2025-12
BANNER OCOTILLO MEDICAL CENTER,CHANDLER,AZ,Abbott Exclusive,2025-12-31,640,2025-12
LAWRENCE MEM HOSP,LAWRENCE,KS,MJN Exclusive,2025-12-31,1168,2025-12
BANNER IRONWOOD MEDICAL CENTER,SAN TAN VALLEY,AZ,Abbott Exclusive,2025-12-31,1166,2025-12
BANNER GATEWAY MED CTR,GILBERT,AZ,Abbott Exclusive,2025-12-31,3985,2025-12
BANNER DESERT MED CTR,MESA,AZ,Abbott Exclusive,2025-12-31,3680,2025-12
BANNER DEL E WEBB MEDICAL CTR,SUN CITY WEST,AZ,Abbott Exclusive,2025-12-31,1935,2025-12
BANNER THUNDERBIRD MED CTR,GLENDALE,AZ,Abbott Exclusive,2025-12-31,4607,2025-12
BANNER CASA GRANDE MEDICAL CENTER,CASA GRANDE,AZ,Abbott Exclusive,2025-12-31,756,2025-12
WATERTOWN REGIONAL MEDICAL CENTER,WATERTOWN,WI,Abbott Exclusive,2025-12-31,165,2025-12
BANNER UNIV MEDICAL CTR PHOENIX,PHOENIX,AZ,Abbott Exclusive,2025-12-31,6164,2025-12
MT WASHINGTON PEDIATRIC HOSPITAL,BALTIMORE,MD,MJN Exclusive,2025-12-31,329,2025-12
FH MICHIGAN CITY SOUTH,MICHIGAN CITY,IN,Abbott Exclusive,2025-12-31,650,2025-12
FORT ATKINSON MEM HOSP,FORT ATKINSON,WI,Abbott Exclusive,2025-12-31,308,2025-12
METHODIST HOSPITAL,GARY,IN,Abbott Exclusive,2025-12-31,524,2025-12
NORTHWEST HEALTH LA PORTE,LA PORTE,IN,Abbott Exclusive,2025-12-31,630,2025-12
CHOCTAW NATION HLTH SVCS,TALIHINA,OK,MJN Exclusive,2025-12-31,532,2025-12
BANNER UNIVERSITY MEDICAL CENTER,TUCSON,AZ,Abbott Exclusive,2025-12-31,2536,2025-12
BANNER ESTRELLA HOSPITAL,PHOENIX,AZ,Abbott Exclusive,2025-12-31,5416,2025-12
